Date,temperature,humidity,wind_speed,pressure,Weather Condition
2023-01-01,15.2,36,18.6,984,Cloudy
2023-01-02,22.2,98,10.0,1014,Cloudy
2023-01-03,2.5,96,11.1,993,Partly Cloudy
2023-01-04,32.0,66,11.3,990,Snowy
2023-01-05,2.7,58,15.7,986,Clear
2023-01-06,12.7,91,6.3,1048,Overcast
2023-01-07,-4.4,62,1.6,1008,Cloudy
2023-01-08,0.4,95,18.9,981,Stormy
2023-01-09,35.5,100,13.3,991,Overcast
2023-01-10,3.2,54,14.3,982,Stormy
2023-01-11,12.7,85,13.0,987,Stormy
2023-01-12,12.5,84,18.4,998,Sunny
2023-01-13,36.9,100,11.6,1029,Rainy
2023-01-14,30.8,54,13.9,1034,Clear
2023-01-15,31.2,92,9.2,1001,Overcast
2023-01-16,31.5,60,10.7,1034,Sunny
2023-01-17,34.9,67,15.2,1019,Partly Cloudy
2023-01-18,4.7,83,1.5,1030,Partly Cloudy
2023-01-19,14.1,100,3.1,999,Clear
2023-01-20,24.1,88,3.8,1009,Cloudy
2023-01-21,7.0,87,6.4,1014,Stormy
2023-01-22,37.6,81,9.1,1036,Cloudy
2023-01-23,8.0,60,10.8,1048,Sunny
2023-01-24,-3.7,31,4.0,1025,Partly Cloudy
2023-01-25,34.9,97,3.1,994,Snowy
2023-01-26,7.2,80,15.0,984,Snowy
2023-01-27,13.0,77,1.9,1047,Stormy
2023-01-28,-2.6,32,19.4,1040,Partly Cloudy
2023-01-29,20.5,75,0.9,996,Cloudy
2023-01-30,33.0,35,8.1,1045,Rainy
2023-01-31,3.6,76,1.0,1030,Cloudy
2023-02-01,25.7,54,19.5,1001,Snowy
2023-02-02,15.3,71,15.4,1004,Snowy
2023-02-03,22.8,61,9.0,1016,Rainy
2023-02-04,28.0,74,1.5,1050,Sunny
2023-02-05,34.7,60,15.4,989,Overcast
2023-02-06,34.1,63,3.8,1038,Clear
2023-02-07,25.5,80,16.8,1001,Sunny
2023-02-08,27.8,62,11.2,1014,Clear
2023-02-09,22.1,35,14.6,1045,Partly Cloudy
2023-02-10,27.4,86,0.2,983,Snowy
2023-02-11,14.8,42,4.9,1005,Overcast
2023-02-12,18.0,47,15.9,1048,Clear
2023-02-13,-2.2,93,8.2,1014,Overcast
2023-02-14,22.0,82,11.5,1038,Snowy
2023-02-15,33.4,34,9.9,984,Clear
2023-02-16,24.9,69,11.7,1003,Sunny
2023-02-17,9.1,34,14.1,1043,Overcast
2023-02-18,11.8,87,4.3,985,Snowy
2023-02-19,18.1,91,3.5,1048,Clear
2023-02-20,7.9,32,8.7,996,Clear
2023-02-21,36.6,33,0.7,1005,Sunny
2023-02-22,0.8,73,14.4,988,Rainy
2023-02-23,25.4,66,14.8,1007,Rainy
2023-02-24,29.7,100,5.5,1038,Clear
2023-02-25,15.6,87,12.3,1041,Partly Cloudy
2023-02-26,10.4,98,8.5,1031,Sunny
2023-02-27,31.7,83,16.6,1007,Rainy
2023-02-28,39.0,57,8.9,1042,Cloudy
2023-03-01,6.3,91,19.3,985,Snowy
2023-03-02,30.5,66,11.7,980,Stormy
2023-03-03,7.9,70,16.8,1015,Cloudy
2023-03-04,38.0,39,8.6,1037,Sunny
2023-03-05,10.5,33,7.6,995,Sunny
2023-03-06,12.9,39,4.0,1000,Overcast
2023-03-07,22.3,36,7.2,1022,Clear
2023-03-08,20.3,71,19.4,1023,Snowy
2023-03-09,-3.4,79,10.6,1048,Stormy
2023-03-10,3.5,73,18.0,1027,Cloudy
2023-03-11,23.1,62,19.7,998,Sunny
2023-03-12,2.4,33,18.8,1036,Rainy
2023-03-13,3.4,91,15.5,1043,Rainy
2023-03-14,30.7,45,12.7,1007,Partly Cloudy
2023-03-15,19.0,30,17.4,1001,Stormy
2023-03-16,33.8,35,6.4,980,Clear
2023-03-17,10.6,41,3.8,986,Stormy
2023-03-18,39.3,84,19.1,1006,Clear
2023-03-19,26.4,81,19.3,1044,Stormy
2023-03-20,25.3,75,16.4,1001,Partly Cloudy
2023-03-21,5.7,56,11.7,1009,Snowy
2023-03-22,-3.3,63,8.4,990,Snowy
2023-03-23,12.3,40,10.8,1021,Clear
2023-03-24,29.3,72,9.0,1004,Overcast
2023-03-25,28.3,90,19.6,1027,Partly Cloudy
2023-03-26,33.7,93,1.6,1000,Stormy
2023-03-27,8.1,39,5.8,997,Cloudy
2023-03-28,4.4,81,4.8,1012,Cloudy
2023-03-29,15.2,88,12.5,1020,Partly Cloudy
2023-03-30,18.7,69,13.0,990,Snowy
2023-03-31,2.5,38,4.4,1046,Rainy
2023-04-01,6.7,85,7.2,999,Cloudy
2023-04-02,21.5,50,3.7,1036,Snowy
2023-04-03,24.1,78,10.7,1015,Stormy
2023-04-04,37.7,82,8.8,1043,Overcast
2023-04-05,3.3,79,16.7,1017,Partly Cloudy
2023-04-06,29.5,45,15.2,1015,Cloudy
2023-04-07,30.1,56,3.8,988,Clear
2023-04-08,2.0,82,14.6,981,Stormy
2023-04-09,29.8,46,15.7,994,Partly Cloudy
2023-04-10,-4.3,74,4.2,1028,Partly Cloudy
2023-04-11,36.7,40,8.9,1021,Rainy
2023-04-12,20.5,59,7.5,1001,Snowy
2023-04-13,9.6,35,6.7,1006,Rainy
2023-04-14,30.5,82,15.7,1049,Stormy
2023-04-15,13.3,76,16.8,992,Cloudy
2023-04-16,29.7,59,11.6,982,Sunny
2023-04-17,35.5,94,6.8,1012,Partly Cloudy
2023-04-18,38.1,65,3.5,1026,Rainy
2023-04-19,29.6,75,3.5,1015,Stormy
2023-04-20,22.4,97,19.6,980,Partly Cloudy
2023-04-21,37.6,30,13.4,1017,Stormy
2023-04-22,23.6,59,15.8,1032,Overcast
2023-04-23,22.5,93,7.4,1018,Stormy
2023-04-24,32.5,89,7.7,1004,Clear
2023-04-25,28.4,64,9.3,1023,Rainy
2023-04-26,13.2,56,18.3,1012,Clear
2023-04-27,34.2,80,7.8,985,Overcast
2023-04-28,10.6,44,7.1,1006,Snowy
2023-04-29,8.3,67,6.7,1044,Cloudy
2023-04-30,33.7,83,4.5,1025,Rainy
2023-05-01,24.9,62,7.3,1037,Stormy
2023-05-02,23.0,73,13.7,1020,Stormy
2023-05-03,-3.0,93,4.6,1042,Cloudy
2023-05-04,16.3,78,8.4,1003,Clear
2023-05-05,1.6,38,11.3,999,Stormy
2023-05-06,3.0,80,7.6,1034,Overcast
2023-05-07,9.7,92,6.7,988,Snowy
2023-05-08,37.5,65,19.2,990,Cloudy
2023-05-09,25.7,43,8.9,1039,Partly Cloudy
2023-05-10,3.6,42,18.8,1021,Cloudy
2023-05-11,6.0,55,19.9,992,Stormy
2023-05-12,20.1,53,8.0,1035,Rainy
2023-05-13,0.3,94,3.8,1015,Partly Cloudy
2023-05-14,5.5,75,1.7,987,Overcast
2023-05-15,-1.2,49,19.2,1022,Rainy
2023-05-16,32.5,75,3.0,1005,Sunny
2023-05-17,21.0,92,1.4,985,Snowy
2023-05-18,10.5,56,7.0,1019,Stormy
2023-05-19,32.8,50,4.3,1015,Overcast
2023-05-20,11.6,60,11.5,1001,Snowy
2023-05-21,28.9,61,12.5,1028,Rainy
2023-05-22,4.6,98,0.6,998,Sunny
2023-05-23,12.0,35,6.6,989,Snowy
2023-05-24,-2.7,47,11.0,1021,Cloudy
2023-05-25,0.3,63,7.2,1023,Overcast
2023-05-26,0.9,87,11.6,1045,Rainy
2023-05-27,-0.3,96,5.7,1000,Sunny
2023-05-28,21.1,93,8.1,1011,Stormy
2023-05-29,4.6,60,16.9,994,Cloudy
2023-05-30,20.6,92,12.0,1043,Stormy
2023-05-31,-3.5,42,8.8,1016,Snowy
2023-06-01,38.1,58,7.3,1013,Clear
2023-06-02,8.0,72,15.6,1007,Sunny
2023-06-03,27.6,54,4.7,1006,Partly Cloudy
2023-06-04,24.1,86,1.0,1010,Cloudy
2023-06-05,5.4,86,10.1,1044,Rainy
2023-06-06,0.8,88,13.8,1038,Snowy
2023-06-07,21.4,66,11.7,1028,Stormy
2023-06-08,16.5,39,1.3,1031,Stormy
2023-06-09,7.2,69,0.7,1050,Rainy
2023-06-10,29.8,32,0.9,995,Clear
2023-06-11,-4.5,31,0.9,981,Sunny
2023-06-12,31.5,65,17.2,1024,Snowy
2023-06-13,20.2,49,16.2,1009,Clear
2023-06-14,18.4,46,14.6,1018,Cloudy
2023-06-15,29.7,73,14.4,993,Snowy
2023-06-16,30.0,32,6.3,1021,Sunny
2023-06-17,20.8,98,7.3,1021,Sunny
2023-06-18,26.1,84,19.9,1024,Sunny
2023-06-19,-4.1,75,1.5,1010,Sunny
2023-06-20,14.2,76,3.8,1013,Partly Cloudy
2023-06-21,15.9,58,6.8,1026,Overcast
2023-06-22,5.3,68,0.0,998,Overcast
2023-06-23,22.6,67,7.9,994,Cloudy
2023-06-24,18.3,53,15.8,1034,Rainy
2023-06-25,0.4,50,11.2,999,Stormy
2023-06-26,-0.7,84,6.4,1047,Rainy
2023-06-27,37.2,77,15.7,1038,Rainy
2023-06-28,2.2,68,0.3,1035,Snowy
2023-06-29,39.8,33,15.0,1008,Stormy
2023-06-30,37.3,54,4.0,1043,Partly Cloudy
2023-07-01,7.5,59,17.3,998,Rainy
2023-07-02,35.4,64,1.0,996,Stormy
2023-07-03,33.1,77,18.2,1026,Stormy
2023-07-04,36.7,91,1.6,1029,Overcast
2023-07-05,22.9,37,8.8,981,Rainy
2023-07-06,10.7,83,1.1,1031,Clear
2023-07-07,18.2,82,2.6,982,Rainy
2023-07-08,11.2,93,15.7,1003,Stormy
2023-07-09,2.6,50,3.0,1019,Sunny
2023-07-10,16.0,43,9.5,1027,Overcast
2023-07-11,27.1,96,17.8,1004,Clear
2023-07-12,12.3,54,0.1,1006,Snowy
